순번,회원정보,이용락카,키번호,성별,회원구분,이용대상,입장시각,퇴실시각
1,홍길동,남자사우나,27,남,회원,성인,2026-08-26 12:52,2026-08-26 13:56
2,김보라,여자사우나,15,여,회원,성인,2026-08-26 12:34,2026-08-26 13:22
3,이수현,남자사우나,21,남,회원,성인,2026-08-26 12:32,2026-08-26 13:17
4,박지훈,남자사우나,28,남,회원,성인,2026-08-26 12:13,
5,정민아,여자사우나,9,여,회원,성인,2026-08-26 12:09,2026-08-26 12:46
6,최유진,여자사우나,19,여,회원,성인,2026-08-26 12:08,2026-08-26 12:56
7,윤성호,남자사우나,19,남,회원,성인,2026-08-26 11:59,2026-08-26 12:41
8,장미경,여자사우나,7,여,회원,성인,2026-08-26 11:58,
9,한도윤,남자사우나,3,남,회원,성인,2026-08-26 11:57,2026-08-26 13:00
10,오세훈,남자사우나,11,남,회원,성인,2026-08-26 11:56,
11,신지원,여자사우나,25,여,회원,성인,2026-08-26 11:55,2026-08-26 13:05
12,강태우,남자사우나,9,남,회원,성인,2026-08-26 11:44,
13,임채원,여자사우나,21,여,회원,성인,2026-08-26 11:38,2026-08-26 12:51
14,조은서,여자사우나,7,여,회원,성인,2026-08-26 11:38,
